x,y,z
0,1878,772
0,1807,838
0,1632,986
0,2002,469
0,1548,612
0,1949,1326
0,1721,678
0,2046,827
0,1921,1166
0,1757,653
0,2087,703
0,1572,1002
0,2064,690
0,1810,1342
0,2030,369
0,1897,900
0,1819,861
0,1887,350
0,1718,1136
0,2048,331
0,1762,410
0,1681,776
1,1871,630
1,1757,606
0,1957,385
0,1856,618
0,1671,768
0,1656,629
0,1593,605
1,2101,856
1,1857,853
1,1603,832
1,2006,411
1,1683,793
0,1725,590
0,1878,568
0,1979,715
0,1710,888
0,1624,1067
0,1890,1021
0,1841,489
0,1693,793
0,1986,998
1,1976,957
1,1631,1036
1,1761,1036
1,1916,1123
1,1792,861
1,2081,1026
0,1811,284
0,2015,285
0,1886,1286
0,1764,756
0,1734,693
0,1738,573
0,1956,592
0,1598,447
0,1805,432
0,2107,445
0,1974,287
0,1784,323
0,2918,592
0,1869,878
0,2011,467
0,1742,939
0,1877,322
0,1693,504
0,1960,507
0,1633,467
0,1854,772
0,1965,672
0,1951,799
0,1721,655
0,1804,798
0,2272,653
0,1877,665
0,1800,613
0,1752,891
0,1895,774
0,1978,606
0,2254,306
0,1841,588
0,1697,1119
0,1853,1278
0,1846,732
0,1956,529
0,1620,1222
0,1798,282
0,1688,938
0,1559,939
