x,y,z
0,2873,508
0,2261,964
0,2362,582
1,2585,458
0,2356,158
1,2237,1368
0,2220,867
0,2267,1305
0,2408,1286
0,2436,1109
0,2197,565
0,2407,545
0,2067,553
0,2331,711
0,2102,955
0,2326,608
0,2338,163
0,2216,997
1,2121,387
0,2463,769
0,2285,547
0,2153,364
0,2190,1513
0,2092,728
0,2567,1554
0,2012,487
0,2208,626
0,2072,283
0,2275,1134
0,2183,219
0,2111,1132
0,2327,1297
0,2357,223
0,2411,650
0,2274,262
1,2223,648
1,2029,2544
0,2353,669
0,2400,1182
0,2099,1428
1,3273,787
1,2662,1708
1,3029,813
1,2290,1140
1,2498,1568
0,2213,2598
1,2977,771
1,2660,1063
1,3357,790
1,2647,934
0,2597,776
0,2662,1191
0,2889,537
0,2248,1414
0,2374,776
0,2798,512
0,2385,509
0,2670,796
0,2505,246
0,2459,668
0,2625,1046
0,2373,815
0,2326,1282
0,2531,901
0,2463,547
0,2578,549
0,2789,368
0,2088,504
0,2222,912
0,2272,546
0,2402,387
0,2547,509
0,2782,1034
0,2400,635
0,2367,364
0,2276,506
0,2237,508
0,2660,431
0,2663,932
0,2387,479
0,2200,325
0,2437,735
0,2260,728
0,2094,588
0,2262,588
0,2970,794
0,2248,628
0,2285,441
0,2268,607
0,2259,1079
0,2301,617
0,2340,446
0,2652,433
0,2286,606
0,2302,652
0,2454,728
0,2280,1052
1,2145,429
1,2724,574
1,2599,895
1,2486,608
1,2871,1380
1,2760,1667
