x,y,z
0,3508,500
0,2467,181
0,2258,321
0,2608,221
0,2167,222
0,2549,201
0,2412,141
0,2338,261
0,2142,402
0,2274,200
0,2436,282
0,2463,342
0,2513,220
0,2417,222
0,2257,262
0,2654,284
0,2232,260
0,2201,141
1,2580,181
1,2240,302
1,2396,368
0,2344,406
0,2348,145
0,2209,263
0,2339,282
0,2804,248
0,2485,304
0,2256,264
0,2012,142
0,2521,160
0,2536,161
0,2547,178
0,2325,283
0,2283,120
0,2186,241
0,2233,260
0,2425,120
0,2261,161
0,2341,145
0,2274,282
0,2336,263
0,3492,141
0,2488,120
0,2325,142
0,3315,288
0,2631,304
0,2683,183
0,2775,160
0,2262,330
0,2540,142
0,2395,331
0,2495,325
0,2481,262
0,2359,165
0,4797,140
0,2407,140
0,2537,285
0,2629,181
0,2367,284
0,3021,264
0,2266,141
0,2298,285
0,4337,167
0,2204,181
0,2403,165
0,2313,142
0,2232,431
0,2394,466
0,2725,309
0,2601,141
0,2293,181
0,2250,162
0,2299,289
1,2029,347
1,2099,346
1,2189,772
1,2380,310
1,2878,326
1,2698,305
1,2846,324
1,2901,304
1,3145,165
1,2362,324
1,2508,284
1,2728,141
1,2815,320
1,2595,283
1,2546,287
1,2857,305
1,2905,284
1,4215,304
1,2935,456
1,3797,450
1,3298,305
1,3316,327
1,2299,140
1,2622,456
1,2750,329
1,3967,143
1,2831,331
1,2485,752
1,2712,453
1,2583,307
1,2303,160
