x,y,z
0,1546,821
0,1574,480
0,1532,822
0,1629,824
0,1415,1144
0,1492,667
0,1351,1687
0,1569,877
0,1480,1745
0,1471,1253
0,1488,2316
0,1379,695
0,1859,657
0,1368,603
0,1785,1207
0,1528,1849
0,1597,560
0,1255,883
0,1381,786
0,1458,261
0,1454,425
0,1692,889
0,1723,709
0,1437,563
0,1698,745
0,1354,1256
0,1738,1562
0,1622,1278
0,1601,711
0,1779,301
0,1743,585
0,1636,282
0,1393,748
0,1477,587
0,1621,1008
0,1473,587
0,1405,583
0,1681,1210
0,1331,1168
0,1564,281
0,1422,874
0,1652,465
0,1542,768
0,1705,627
0,1557,789
0,1909,1210
0,1600,422
0,1561,301
0,1397,608
0,1559,303
0,1647,1391
0,1505,324
0,1382,305
0,1564,483
0,1317,303
0,1664,347
0,1776,322
0,2174,323
0,1798,463
0,1624,1410
0,1773,742
0,1573,624
0,1484,1115
0,1317,931
0,1729,302
0,1538,303
0,1619,602
0,1520,629
0,1479,353
0,1543,1111
0,1838,483
0,1744,322
0,1482,910
0,1473,627
0,1543,583
0,1664,463
0,1647,1087
0,1541,766
0,2562,1110
0,1978,972
1,2208,1597
1,1769,1682
1,1989,912
0,1851,805
1,1881,765
1,2036,302
1,1577,626
1,1585,323
1,1708,1573
1,1726,991
1,1634,1418
1,1605,1418
1,1626,507
1,2054,949
1,1776,463
1,1692,1428
1,1738,302
0,1685,469
1,3402,1084
1,1654,443
1,1534,786
1,1595,1068
0,2074,504
0,1424,1210
0,1657,605
0,1863,788
0,1886,765
0,2287,1213
0,1592,428
0,1600,424
0,1975,947
1,1911,787
0,1703,791
1,1864,1251
0,1741,811
1,1841,765
1,1792,446
1,1642,628
1,1511,447
1,1759,785
1,1689,805
1,1700,280
1,1652,1216
1,2356,444
1,1691,1443
1,1448,327
1,1773,463
1,2058,751
1,1603,446
1,1528,766
1,2102,1091
0,1424,769
0,1659,1096
0,1691,419
0,1753,484
0,1503,1358
1,1728,605
1,1654,445
1,1786,925
1,1821,423
1,1407,792
0,1648,282
0,1997,1569
1,1440,967
1,1585,2005
0,1696,283
0,1547,624
0,1517,806
1,1559,1248
1,1812,1593
0,2235,790
1,2178,930
1,1568,1711
0,1623,1050
0,1744,1115
1,1827,949
1,2022,525
1,1758,622
1,1737,1108
1,1674,1259
1,1739,1069
1,1725,730
1,2699,425
1,1602,448
1,1670,934
1,1624,583
1,1819,644
1,1826,949
1,1566,423
1,2011,751
1,1693,1397
