x,y,z
0,363,706
0,2101,181
0,2193,505
0,2256,262
0,2132,500
0,2076,1166
0,1916,769
0,2096,308
0,1985,1008
0,2085,1253
1,2089,1049
1,2199,972
0,2240,624
0,2249,180
0,2108,544
0,2188,867
0,2520,1030
0,2389,988
0,2147,1094
0,2195,1113
0,2089,1034
0,2174,1174
0,2228,1155
0,2185,888
0,2212,1706
0,2323,1558
0,2169,1536
0,2292,1541
0,2480,1050
0,2539,1171
0,2242,626
0,2245,1051
0,2457,769
0,2547,649
0,2376,1180
0,2406,652
0,2411,808
0,2200,1461
0,2460,682
0,2332,977
0,2247,1136
0,2365,1280
0,2244,1542
0,2207,1266
0,2299,694
0,2291,648
0,2190,809
0,2129,1542
0,2266,729
0,2438,1692
0,2248,1264
0,2345,1155
0,2406,1305
0,2205,1306
0,2147,426
0,2063,1693
1,2164,1302
1,2275,997
1,2219,572
1,2178,566
1,2054,1380
1,2172,673
1,2062,1972
0,2180,1279
1,2102,1537
1,2480,1808
0,2143,1424
1,2093,979
1,2174,1401
1,2165,429
1,2145,425
1,2166,429
1,2114,1158
1,2115,1431
1,2323,1428
1,2096,1836
1,2405,1863
1,2899,1138
0,2694,570
0,2101,877
0,2412,1389
1,2410,247
1,2191,570
1,2182,571
1,2466,1710
1,2217,874
1,2352,1459
1,2371,1723
0,2441,1137
0,2533,874
0,2238,1112
0,2210,549
0,2193,1450
0,2197,689
0,2304,873
0,2231,1041
0,2280,283
0,2285,1428
1,2179,527
1,2274,470
0,2280,570
0,2285,1321
0,2298,1418
0,2979,446
0,2383,569
